Manual,Automated,Difference,meandiff
110,105,5,107.5
120,115,5,117.5
122,130,-8,126
125,120,5,122.5
130,125,5,127.5
132,140,-8,136
110,115,-5,112.5
122,114,8,118
90,85,5,87.5
96,110,-14,103
124,118,6,121
128,120,8,124
129,132,-3,130.5
132,140,-8,136
135,150,-15,142.5
138,152,-14,145
140,142,-2,141
110,115,-5,112.5
142,152,-10,147
150,152,-2,151
110,120,-10,115
145,152,-7,148.5
100,117,-17,108.5
150,141,9,145.5
152,140,12,146
152,165,-13,158.5
153,155,-2,154
159,150,9,154.5
160,170,-10,165
172,175,-3,173.5
140,123,17,131.5
115,130,-15,122.5
115,122,-7,118.5
118,112,6,115
125,136,-11,130.5
135,149,-14,142
132,120,12,126
140,128,12,134
150,132,18,141
158,140,18,149
162,138,24,150
135,125,10,130
128,125,3,126.5
162,150,12,156
158,140,18,149
172,162,10,167
150,130,20,140
123,140,-17,131.5
150,158,-8,154
152,136,16,144
